original,web,action,bytes_before,bytes_after
USA-AIR-007-a,USA-AIR-007-a.jpg,converted,183677,125045
USA-AIR-007-b.jpg,USA-AIR-007-b.jpg,kept-original,590104,590104
USA-AIR-008-a.jpg,USA-AIR-008-a.jpg,kept-original,225814,225814
USA-AIR-008-b.jpg,USA-AIR-008-b.jpg,converted,546598,331249
USA-AIR-008-c.jpg,USA-AIR-008-c.jpg,copy,178294,178294
USA-AIR-009-a.jpg,USA-AIR-009-a.jpg,copy,28502,28502
USA-AIR-009-b,USA-AIR-009-b.avif,ext-fixed,11011,11011
USA-AIR-010-a.jpg,USA-AIR-010-a.jpg,copy,56466,56466
USA-AIR-010-b.jpg,USA-AIR-010-b.jpg,copy,64920,64920
USA-LAND-001-a.webp,USA-LAND-001-a.jpg,converted,924264,221052
USA-LAND-001-b.jpg,USA-LAND-001-b.jpg,copy,53469,53469
USA-LAND-002-a.jpg,USA-LAND-002-a.jpg,converted,1818547,346506
USA-LAND-002-b.jpg,USA-LAND-002-b.jpg,copy,125709,125709
USA-SEA-001-a.jpg,USA-SEA-001-a.jpg,copy,218804,218804
USA-SEA-001-b.png,USA-SEA-001-b.jpg,converted,507984,315974
USA-SEA-002-a.jpg,USA-SEA-002-a.jpg,copy,103863,103863
USA-SEA-002-b,USA-SEA-002-b.avif,ext-fixed,40992,40992
USA-SEA-003-a,USA-SEA-003-a.avif,ext-fixed,85612,85612
USA-SEA-003-b,USA-SEA-003-b.avif,ext-fixed,43879,43879
USA-SUB-001-a.webp,USA-SUB-001-a.webp,copy,62078,62078
USA-SUB-001-b.jpg,USA-SUB-001-b.jpg,copy,270144,270144
